# Count,TimeStamp,Age,Prename,Surname
1,1.80000e-005 sec,9.091 years,Vorname 1,Name 1
2,1.05000e-004 sec,18.182 years,Vorname 2,Name 2
3,1.32000e-004 sec,27.273 years,Vorname 3,Name 3
4,1.55000e-004 sec,36.364 years,Vorname 4,Name 4
5,1.76000e-004 sec,45.455 years,Vorname 5,Name 5
6,1.99000e-004 sec,54.545 years,Vorname 6,Name 6
7,2.20000e-004 sec,63.636 years,Vorname 7,Name 7
8,2.43000e-004 sec,72.727 years,Vorname 8,Name 8
9,2.67000e-004 sec,81.818 years,Vorname 9,Name 9
10,3.00000e-004 sec,90.909 years,Vorname 10,Name 10
11,3.23000e-004 sec,100.000 years,Vorname 11,Name 11
# Time needed for export of 11 lines (hash) by example script 'example_hash.pl': 0.013976 sec
