# Prename,Surname,Age
Vorname 1,Name 1,7.69230769230769
Vorname 2,Name 2,15.3846153846154
Vorname 3,Name 3,23.0769230769231
Vorname 4,Name 4,30.7692307692308
Vorname 5,Name 5,38.4615384615385
Vorname 6,Name 6,46.1538461538462
Vorname 7,Name 7,53.8461538461538
Vorname 8,Name 8,61.5384615384615
Vorname 9,Name 9,69.2307692307692
Vorname 10,Name 10,76.9230769230769
Vorname 11,Name 11,84.6153846153846
Vorname 12,Name 12,92.3076923076923
Vorname 13,Name 13,100
# Time needed for export of 13 lines (hash) by example script 'short_hash.pl': 0.032908 sec
